item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
19203781,PLATSA,Wardrobes,1588.0,"SR 1,985",True,https://www.ikea.com/sa/en/p/platsa-wardrobe-white-fonnes-white-s19203781/,No,"        Wardrobe,          195-220x57x241 cm",IKEA of Sweden/Ola Wihlborg,57.0,241.0,160.0
50468953,VATTVIKEN,Beds,995.0,No old price,True,https://www.ikea.com/sa/en/p/vattviken-armchair-bed-lerhaga-light-grey-50468953/,No,        Armchair-bed,"504.689.53 Small and easy-to-place chair-bed which can easily be converted into a single bed.The storage space under the seat has room for bedlinen or other things.Just as nice to look at from all sides – perfect to place in the middle of the room or use as a room divider.The cushion cover is easy to keep clean and fresh, as you can take it off and machine-wash it.Easy to assemble.1 cushion included.",83.0,86.0,92.0
50294793,HANVIKEN,Cabinets & cupboards,100.0,No old price,True,https://www.ikea.com/sa/en/p/hanviken-door-black-brown-50294793/,Yes,"        Door,          60x64 cm",Marcus Arvonen,,64.0,60.0
410083,STRÅFLY,Chairs,15.0,No old price,True,https://www.ikea.com/sa/en/p/strafly-chair-pad-dark-grey-00410083/,No,"        Chair pad,          36 cm",IKEA of Sweden,,,
19297275,NORRÅKER / NORRÅKER,Tables & desks,1266.0,"SR 1,385",True,https://www.ikea.com/sa/en/p/norraker-norraker-bar-table-and-2-bar-stools-birch-birch-s19297275/,No,"        Bar table and 2 bar stools,          74 cm",J Karlsson/N Karlsson,,,
70228325,RESÖ,Outdoor furniture,205.0,No old price,True,https://www.ikea.com/sa/en/p/resoe-childrens-picnic-table-grey-brown-stained-grey-brown-70228325/,No,        Children's picnic table,IKEA of Sweden,,49.0,89.0
60282186,LACK,Bookcases & shelving units,199.0,No old price,True,https://www.ikea.com/sa/en/p/lack-wall-shelf-unit-white-60282186/,Yes,"        Wall shelf unit,          30x190 cm",C Halskov/H Dalsgaard,28.0,190.0,30.0
20338411,BAGGANÄS,Bookcases & shelving units,50.0,No old price,True,https://www.ikea.com/sa/en/p/bagganaes-handle-brass-colour-20338411/,Yes,"        Handle,          335 mm",H Preutz/A Fredriksson,31.0,,9.0
49303958,BROR,Bookcases & shelving units,1545.0,No old price,True,https://www.ikea.com/sa/en/p/bror-shelving-unit-white-s49303958/,No,"        Shelving unit,          254x40x190 cm",IKEA of Sweden,40.0,190.0,254.0
69281804,BILLY / OXBERG,Cabinets & cupboards,915.0,No old price,True,https://www.ikea.com/sa/en/p/billy-oxberg-bookcase-with-glass-doors-white-s69281804/,Yes,"        Bookcase with glass-doors,          120x30x202 cm",Gillis Lundgren,30.0,202.0,120.0
20403562,MALM,Chests of drawers & drawer units,295.0,No old price,True,https://www.ikea.com/sa/en/p/malm-chest-of-3-drawers-white-20403562/,Yes,"        Chest of 3 drawers,          80x78 cm",IKEA of Sweden,48.0,78.0,80.0
29277700,VALLENTUNA,Sofas & armchairs,3896.0,"SR 4,870",True,https://www.ikea.com/sa/en/p/vallentuna-2-seat-modular-sofa-w-2-sofa-beds-hillared-light-blue-s29277700/,Yes,        2-seat modular sofa w 2 sofa-beds,IKEA of Sweden/Fredriksson/L Löwenhielm/Hilland,113.0,84.0,186.0
49259743,SVENBERTIL,Café furniture,275.0,No old price,True,https://www.ikea.com/sa/en/p/svenbertil-chair-with-armrests-white-dietmar-white-s49259743/,Yes,        Chair with armrests,Mia Lagerman,50.0,84.0,53.0
69276256,MÖCKELBY / HENRIKSDAL,Chairs,4265.0,No old price,True,https://www.ikea.com/sa/en/p/moeckelby-henriksdal-table-and-6-chairs-white-blekinge-white-s69276256/,No,"        Table and 6 chairs,          235x100 cm",Marcus Arvonen/IKEA of Sweden,,74.0,100.0
69287537,DELAKTIG,Beds,2095.0,No old price,True,https://www.ikea.com/sa/en/p/delaktig-bed-frame-with-headboard-aluminium-black-s69287537/,No,"        Bed frame with headboard,          160x200 cm",IKEA of Sweden/Tom Dixon,,99.0,164.0
30409035,LISTERBY,Tables & desks,495.0,No old price,True,https://www.ikea.com/sa/en/p/listerby-console-table-brown-30409035/,No,"        Console table,          92x38x71 cm",Henrik Preutz,,71.0,38.0
39253176,STUVA / FRITIDS,Nursery furniture,995.0,No old price,True,https://www.ikea.com/sa/en/p/stuva-fritids-cot-with-drawers-light-blue-s39253176/,No,"        Cot with drawers,          60x120 cm",Ebba Strandmark,,86.0,66.0
59259691,DELAKTIG,Sofas & armchairs,3900.0,No old price,True,https://www.ikea.com/sa/en/p/delaktig-3-seat-sofa-hillared-dark-blue-s59259691/,Yes,        3-seat sofa,Tom Dixon,84.0,79.0,204.0
39297236,NORRÅKER / NORRARYD,Tables & desks,1636.0,"SR 2,045",True,https://www.ikea.com/sa/en/p/norraker-norraryd-table-and-4-chairs-birch-white-s39297236/,No,"        Table and 4 chairs,          125x74 cm",J Karlsson/N Karlsson/Nike Karlsson,,,74.0
60414257,VASSVIKEN,TV & media furniture,75.0,No old price,True,https://www.ikea.com/sa/en/p/vassviken-drawer-front-white-60414257/,No,"        Drawer front,          60x26 cm",IKEA of Sweden,,26.0,60.0
59201841,OLAUS,Bookcases & shelving units,290.0,SR 350,True,https://www.ikea.com/sa/en/p/olaus-1-shelf-section-s59201841/,No,"        1 shelf section,          92x36x181 cm",IKEA of Sweden,36.0,181.0,92.0
20330599,UPPLEVA,TV & media furniture,199.0,No old price,True,https://www.ikea.com/sa/en/p/uppleva-bracket-for-tv-swivel-light-grey-20330599/,No,"        Bracket for TV, swivel,          37-55 ""","203.305.99 The TV-bracket can be angled for change of viewing position, and easy access to cables and connections.The TV bracket has integrated cable management so you can easily gather and conceal wires for a neater TV solution.UPPLEVA TV-brackets are VESA-compatibleFits most 37-55"" flat screen TVs.Fits MOSTORP, MALSJÖ and BESTÅ TV benches.",,,
90434310,ULRIKSBERG,Chairs,445.0,No old price,True,https://www.ikea.com/sa/en/p/ulriksberg-armchair-rattan-anthracite-90434310/,No,        Armchair,A Fredriksson/J Hultqvist/W Chong,74.0,76.0,67.0
90229017,BUSUNGE,Beds,795.0,No old price,True,https://www.ikea.com/sa/en/p/busunge-extendable-bed-light-pink-90229017/,No,"        Extendable bed,          80x200 cm",Carl Öjerstam,,,90.0
211088,STEFAN,Chairs,85.0,No old price,True,https://www.ikea.com/sa/en/p/stefan-chair-brown-black-00211088/,No,        Chair,IKEA of Sweden,49.0,90.0,42.0
